degree,specialization,cgpa,academic_performance,Python,Java,C_CPP,SQL,HTML_CSS,JavaScript,Excel,Power_BI,Statistics,Machine_Learning,Deep_Learning,Cloud_Computing,Networking,Cybersecurity,Git_GitHub,Communication,Problem_Solving,Teamwork,Leadership,Analytical_Thinking,interests,career_label
B.Sc Information Technology,Web Technologies,6.72,Second Class,3,2,1,2,0,0,0,2,2,0,0,4,5,2,4,2,4,4,3,4,Cloud Computing; Data Analysis,Cloud Engineer
B.Sc Information Technology,Software Engineering,5.91,Pass,3,2,0,3,2,1,2,4,4,3,0,2,1,0,3,4,4,3,3,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Cloud & Security,6.7,Second Class,1,2,2,5,1,2,3,2,2,1,0,3,3,3,3,3,4,3,4,4,Database Management; Cybersecurity; Software Development,Database Administrator
B.Sc Information Technology,Cloud & Security,7.28,First Class,4,4,2,3,3,1,1,2,2,1,1,1,0,3,5,3,5,5,3,4,Software Development,Software Developer
B.Sc Information Technology,Web Technologies,7.03,First Class,1,2,0,4,2,1,3,4,4,1,0,0,1,1,2,4,4,2,1,5,Data Analysis; Database Management; Cybersecurity,Data Analyst
B.Sc Computer Science,Information Technology,6.89,Second Class,4,1,0,3,0,2,4,4,4,2,0,0,1,0,1,4,3,2,2,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Information Technology,7.39,First Class,5,2,1,3,1,1,3,3,5,4,3,2,1,1,5,4,4,4,4,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
B.Sc Computer Science,Information Technology,8.83,Distinction,4,4,5,3,2,3,1,1,2,0,0,2,2,3,3,2,5,5,3,4,Software Development,Software Developer
B.Sc Information Technology,Cloud & Security,7.71,First Class,5,3,1,2,1,1,2,2,5,5,4,3,1,0,4,3,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
B.Sc Information Technology,Cloud & Security,7.78,First Class,3,1,0,4,1,0,3,4,3,0,0,2,1,2,2,5,3,3,3,5,Data Analysis; Database Management; Machine Learning,Data Analyst
B.Sc Information Technology,Information Technology,7.78,First Class,3,2,1,4,0,2,3,4,5,5,4,2,1,1,4,5,5,3,2,5,Data Science; Artificial Intelligence; Machine Learning; Software Development,Data Scientist
BCA,Data Science,8.14,First Class,3,2,4,3,2,2,1,1,1,1,0,3,5,5,2,2,5,3,3,4,Cybersecurity; Cloud Computing; Database Management,Cybersecurity Analyst
B.Sc Computer Science,Information Technology,7.42,First Class,5,3,2,5,1,2,1,3,4,5,5,4,1,2,4,4,5,4,3,4,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Information Technology,Web Technologies,8.99,Distinction,2,3,1,5,1,1,2,2,1,1,1,3,4,3,3,4,5,4,3,4,Database Management,Database Administrator
B.Sc Information Technology,Cloud & Security,8.78,Distinction,3,1,0,2,2,2,2,0,1,1,1,4,4,2,4,4,4,5,4,3,Cloud Computing; Database Management; Software Development,Cloud Engineer
B.Sc Information Technology,Data Science,8.37,First Class,3,0,0,4,1,1,4,4,4,2,1,0,2,1,2,3,4,2,1,5,Data Analysis; Database Management; Data Science,Data Analyst
B.Sc Information Technology,Cloud & Security,6.66,Second Class,3,2,1,3,4,5,0,1,2,1,1,1,2,2,2,3,4,4,3,2,Web Development; Software Development; Database Management,Web Developer
B.Sc Computer Science,Software Engineering,7.42,First Class,2,2,2,4,1,0,3,2,2,1,0,3,4,1,3,3,4,2,4,4,Database Management,Database Administrator
B.Sc Information Technology,Data Science,7.64,First Class,4,5,4,4,0,2,0,1,0,1,0,2,3,1,4,3,4,4,4,5,Software Development; Data Science; Cloud Computing,Software Developer
B.Sc Information Technology,Cloud & Security,6.63,Second Class,2,2,0,3,2,2,4,5,3,1,0,2,2,1,3,5,5,3,2,5,Data Analysis; Database Management; Web Development,Data Analyst
B.Sc Information Technology,Information Technology,6.86,Second Class,3,2,0,3,5,3,1,0,1,1,0,0,0,2,4,3,3,4,3,4,Web Development; Software Development; Machine Learning,Web Developer
B.Sc Information Technology,Cloud & Security,7.82,First Class,3,0,1,4,1,0,4,4,5,2,0,3,0,1,0,4,5,3,3,5,Data Analysis; Database Management; Cybersecurity; Cloud Computing,Data Analyst
B.Sc Information Technology,Information Technology,8.6,Distinction,4,2,3,3,0,3,0,0,3,1,0,3,5,4,3,3,5,3,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Web Technologies,9.11,Distinction,5,1,1,4,0,1,3,4,5,5,4,3,1,2,4,4,5,3,2,4,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Data Science,7.46,First Class,5,3,3,4,3,1,1,1,2,1,0,2,2,2,4,3,5,3,3,4,Software Development; Artificial Intelligence,Software Developer
B.Sc Information Technology,Information Technology,7.11,First Class,5,3,3,5,1,2,1,1,4,4,5,4,2,1,4,3,5,5,2,5,Machine Learning; Artificial Intelligence; Data Science; Software Development,Machine Learning Engineer
B.Sc Computer Science,Cloud & Security,7.45,First Class,2,2,1,3,5,5,1,0,0,2,0,1,2,2,4,4,3,4,1,3,Web Development; Software Development,Web Developer
B.Sc Information Technology,Software Engineering,7.29,First Class,3,4,4,4,1,3,1,0,2,1,0,2,0,2,4,2,5,4,3,3,Software Development; Artificial Intelligence,Software Developer
B.Sc Information Technology,Information Technology,7.45,First Class,5,2,0,4,2,1,4,3,5,4,4,3,1,2,5,3,4,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing; Software Development,Data Scientist
B.Sc Information Technology,Cloud & Security,9.65,Distinction,4,2,2,4,0,0,2,3,5,5,3,2,0,0,4,4,5,3,4,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
B.Sc Information Technology,Web Technologies,8.49,First Class,4,3,3,4,0,2,2,3,4,4,4,2,1,1,3,3,5,4,2,5,Machine Learning; Artificial Intelligence; Data Science; Database Management,Machine Learning Engineer
B.Sc Information Technology,Software Engineering,7.46,First Class,4,4,4,3,3,3,0,1,0,1,0,2,2,3,4,3,5,5,3,4,Software Development; Artificial Intelligence; Cybersecurity,Software Developer
B.Sc Information Technology,Data Science,7.68,First Class,3,3,0,4,1,0,2,3,4,4,3,3,2,1,3,4,5,4,2,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
B.Sc Computer Science,Software Engineering,8.13,First Class,3,2,0,2,1,2,2,1,0,1,1,5,4,2,3,3,4,4,4,4,Cloud Computing; Data Science,Cloud Engineer
B.Sc Information Technology,Web Technologies,7.37,First Class,5,2,0,4,2,0,3,4,5,5,4,3,0,0,4,4,4,3,2,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
B.Sc Computer Science,Software Engineering,6.4,Second Class,3,1,3,3,1,2,2,1,2,1,1,3,5,5,3,4,5,2,3,4,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Data Science,7.54,First Class,1,2,0,3,1,1,2,2,0,0,0,2,3,4,3,3,4,2,3,4,Database Management; Artificial Intelligence,Database Administrator
B.Sc Information Technology,Data Science,7.68,First Class,5,4,2,3,1,4,1,0,2,0,0,3,3,2,4,2,5,4,3,5,Software Development,Software Developer
B.Sc Information Technology,Software Engineering,5.94,Pass,1,2,1,5,1,0,4,2,3,2,0,1,3,2,4,3,5,3,3,4,Database Management; Data Analysis,Database Administrator
B.Sc Information Technology,Cloud & Security,6.53,Second Class,3,1,1,3,4,5,0,1,2,0,0,1,0,0,5,3,5,4,1,3,Web Development; Software Development; Data Analysis; Cloud Computing,Web Developer
B.Sc Information Technology,Software Engineering,7.25,First Class,5,1,3,4,1,2,1,2,4,5,5,4,2,2,3,3,4,5,4,4,Machine Learning; Artificial Intelligence; Data Science; Database Management,Machine Learning Engineer
B.Sc Computer Science,Data Science,6.86,Second Class,4,2,4,2,0,3,1,2,3,1,0,2,2,2,4,3,5,4,3,5,Software Development; Data Analysis,Software Developer
B.Sc Information Technology,Cloud & Security,6.23,Second Class,3,2,3,3,0,1,1,1,2,0,0,3,5,5,3,3,5,3,3,5,Cybersecurity; Cloud Computing; Data Science,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,6.68,Second Class,3,1,0,2,0,3,1,0,0,1,0,5,4,3,4,4,3,3,3,4,Cloud Computing; Web Development,Cloud Engineer
B.Sc Information Technology,Software Engineering,7.58,First Class,0,2,1,5,0,2,4,2,2,1,1,3,2,4,3,3,4,2,4,4,Database Management,Database Administrator
B.Sc Information Technology,Software Engineering,7.48,First Class,5,3,0,4,1,1,3,4,5,5,4,4,1,1,3,4,4,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Data Analysis; Web Development,Data Scientist
B.Sc Information Technology,Software Engineering,5.88,Pass,5,3,4,4,1,3,2,2,4,5,4,3,2,2,3,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Web Development,Machine Learning Engineer
B.Sc Computer Science,Data Science,7.49,First Class,5,4,3,2,1,0,3,1,4,3,5,4,2,0,5,4,5,4,3,4,Machine Learning; Artificial Intelligence; Data Science; Software Development; Data Analysis,Machine Learning Engineer
B.Sc Information Technology,Information Technology,8.11,First Class,5,3,1,3,1,1,2,3,5,4,5,3,2,1,5,4,4,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Data Analysis,Data Scientist
B.Sc Information Technology,Web Technologies,7.18,First Class,4,2,1,4,2,2,4,3,4,5,4,2,1,0,4,4,5,3,4,5,Data Science; Artificial Intelligence; Machine Learning; Web Development; Data Analysis,Data Scientist
B.Sc Information Technology,Information Technology,6.8,Second Class,5,1,0,4,0,1,1,2,5,5,4,2,1,0,4,5,4,4,2,5,Data Science; Artificial Intelligence; Machine Learning; Web Development,Data Scientist
B.Sc Information Technology,Cloud & Security,6.64,Second Class,1,2,1,4,1,0,3,2,1,1,0,3,3,3,3,3,4,2,4,5,Database Management; Cybersecurity,Database Administrator
