student_id,degree,specialization,cgpa,academic_performance,Python,Java,C_CPP,SQL,HTML_CSS,JavaScript,Excel,Power_BI,Statistics,Machine_Learning,Deep_Learning,Cloud_Computing,Networking,Cybersecurity,Git_GitHub,Communication,Problem_Solving,Teamwork,Leadership,Analytical_Thinking,interests,career_label
STU1527,B.Sc Information Technology,Cloud & Security,6.83,Second Class,4,2,3,3,1,3,1,1,1,2,0,2,0,2,3,2,4,4,3,3,Software Development; Cybersecurity; Machine Learning,Software Developer
STU1355,B.Sc Information Technology,Software Engineering,7.09,First Class,5,2,1,5,0,1,3,3,5,4,4,3,0,1,4,4,4,2,3,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
STU1169,B.Sc Information Technology,Information Technology,6.25,Second Class,2,1,0,4,1,1,5,4,2,2,0,1,1,1,0,3,3,4,1,5,Data Analysis; Database Management; Machine Learning,Data Analyst
STU1136,B.Sc Computer Science,Web Technologies,7.61,First Class,3,1,0,4,1,1,5,4,4,2,0,0,0,1,2,4,5,3,2,4,Data Analysis; Database Management,Data Analyst
STU1938,B.Sc Information Technology,Information Technology,6.35,Second Class,2,2,0,4,1,2,3,2,2,0,0,3,4,2,3,2,4,3,3,4,Database Management,Database Administrator
STU2545,B.Sc Information Technology,Cloud & Security,5.74,Pass,4,3,3,4,2,1,2,2,3,5,5,5,3,2,4,3,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity; Web Development,Machine Learning Engineer
STU2254,B.Sc Information Technology,Software Engineering,5.89,Pass,3,1,3,2,2,1,1,0,2,1,0,3,5,5,3,3,5,4,3,4,Cybersecurity; Cloud Computing; Machine Learning,Cybersecurity Analyst
STU1238,B.Sc Information Technology,Software Engineering,9.34,Distinction,5,1,1,4,1,1,3,2,5,5,4,3,2,1,4,4,5,4,3,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
STU1479,B.Sc Information Technology,Software Engineering,6.48,Second Class,4,4,3,3,2,3,1,0,2,2,0,2,2,2,3,3,5,5,2,5,Software Development; Machine Learning,Software Developer
STU1651,B.Sc Information Technology,Software Engineering,7.25,First Class,3,3,0,2,4,4,1,1,1,2,0,2,1,2,4,4,4,3,2,2,Web Development; Software Development,Web Developer
STU1515,B.Sc Information Technology,Cloud & Security,7.77,First Class,5,2,4,2,1,2,1,0,2,1,0,1,2,2,5,4,5,4,4,5,Software Development; Web Development; Cloud Computing,Software Developer
STU2104,B.Sc Information Technology,Data Science,6.2,Second Class,1,2,2,2,1,1,1,1,0,1,0,5,4,3,4,3,5,5,3,3,Cloud Computing; Data Analysis; Data Science,Cloud Engineer
STU1969,B.Sc Information Technology,Software Engineering,7.58,First Class,0,2,1,5,0,2,4,2,2,1,1,3,2,4,3,3,4,2,4,4,Database Management,Database Administrator
STU2570,B.Sc Information Technology,Data Science,8.18,First Class,5,3,3,4,1,0,2,0,3,5,5,3,1,2,3,4,5,5,3,5,Machine Learning; Artificial Intelligence; Data Science; Cloud Computing,Machine Learning Engineer
STU1585,B.Sc Computer Science,Information Technology,6.29,Second Class,5,2,3,3,1,4,1,1,1,0,0,2,2,1,4,3,5,4,2,4,Software Development,Software Developer
STU1066,B.Sc Information Technology,Information Technology,6.55,Second Class,3,0,0,3,1,1,4,2,3,2,0,0,0,2,2,4,4,3,2,5,Data Analysis; Database Management,Data Analyst
